,Unnamed: 0,Column,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,application_type,tot_cur_bal,open_act_il,mths_since_rcnt_il,total_bal_il,il_util,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
895,895,895,28000,28000,28000, 60 months,20.0,741.83,4,7.0,6,54000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,TN,33.84,May-00,,18,17928,34.8,28,w,0.0,0.0,28650.88966,28650.89,28000.0,650.89,Apr-19,28713.11,,May-19,Joint App,189671,2,5.0,58636,72.0,6,9511,47.0,51500,9,10537.0,12741.0,53.7,94.0,226,3,3,3.0,5.0,,2,6,6,8,10,15,17,6,18,3,100.0,235579,76564,27500,67918
919,919,919,15000,15000,15000, 36 months,7.56,467.01,7,1.0,5,115000.0,Source Verified,Mar-19,Fully Paid,car,NJ,27.84,Jan-01,,14,8004,16.2,29,w,0.0,0.0,15003.9375,15003.94,15000.0,3.94,Apr-19,15016.54,,Apr-19,Individual,394604,7,4.0,383706,96.0,4,1830,49.0,49500,5,28186.0,40887.0,6.0,138.0,218,4,4,4.0,4.0,,3,4,5,7,18,6,9,4,14,5,100.0,442637,394604,43500,383625
929,929,929,13000,13000,13000, 36 months,20.0,483.13,4,1.0,5,30000.0,Verified,Mar-19,Fully Paid,credit_card,NV,29.68,Feb-14,,8,17250,77.0,10,w,0.0,0.0,13023.83222,13023.83,13000.0,23.83,Apr-19,13052.72,,Apr-19,Individual,19567,1,47.0,2317,23.0,1,8640,58.0,22400,2,2446.0,5150.0,77.0,47.0,61,22,20,35.0,21.0,,6,6,6,7,1,6,8,6,8,0,100.0,33491,19567,22400,9935
1001,1001,1001,3600,3600,3600, 36 months,16.4,127.28,5,,5,46000.0,Source Verified,Mar-19,Fully Paid,other,NC,13.87,Nov-72,50.0,7,726,12.5,17,w,0.0,0.0,3605.4120000000003,3605.41,3600.0,5.41,Apr-19,3611.97,,Apr-19,Joint App,18426,1,6.0,17700,86.0,4,555,70.0,5800,6,2632.0,3482.0,17.1,64.0,556,5,5,11.0,0.0,50.0,2,3,3,7,4,6,13,3,7,4,94.1,26459,18426,4200,20659
1045,1045,1045,10500,10500,10500, 36 months,11.71,347.3,6,3.0,5,100000.0,Verified,Mar-19,Fully Paid,other,IL,0.92,Mar-10,,4,1998,23.5,5,w,0.0,0.0,10503.41708,10503.42,10500.0,3.42,Apr-19,10517.08,,Mar-19,Individual,1998,0,27.0,0,,0,638,24.0,8500,0,666.0,3342.0,25.7,27.0,108,27,27,59.0,,,2,3,3,3,1,4,4,3,4,0,100.0,8500,1998,4500,0
1060,1060,1060,14000,14000,14000, 36 months,20.0,520.3,4,10.0,6,170000.0,Verified,Mar-19,Fully Paid,home_improvement,CA,11.22,Dec-87,2.0,18,13747,53.3,48,w,0.0,0.0,14124.44556,14124.45,14000.0,124.45,Apr-19,14155.56,,May-19,Individual,782286,3,6.0,11848,58.0,8,2956,55.0,25800,15,46017.0,2652.0,71.2,375.0,375,5,5,5.0,5.0,12.0,5,9,8,14,12,13,30,9,18,12,81.3,840345,25595,9200,20545
1113,1113,1113,20000,20000,20000, 36 months,15.57,698.91,5,,6,46620.0,Not Verified,Mar-19,Fully Paid,car,VT,14.65,Dec-05,,7,0,0.0,31,w,0.0,0.0,20011.245,20011.24,20000.0,11.24,Apr-19,20045.85,,Apr-19,Individual,66841,2,31.0,38218,77.0,1,0,68.0,6800,2,9549.0,2800.0,0.0,159.0,143,12,12,38.0,8.0,,0,0,3,15,7,4,21,0,7,2,100.0,86554,38218,2800,49754
1157,1157,1157,7000,7000,7000, 36 months,7.02,216.21,7,7.0,4,79950.0,Source Verified,Mar-19,Fully Paid,credit_card,NY,11.41,Jun-06,,8,9585,38.0,19,w,0.0,0.0,7024.57,7024.57,7000.0,24.57,Apr-19,7030.03,,Apr-19,Individual,136326,3,3.0,126741,97.0,1,5887,62.0,25200,2,17041.0,13615.0,41.3,153.0,98,7,3,7.0,3.0,,3,3,4,7,8,5,11,3,8,2,100.0,139747,136326,23200,114547
1190,1190,1190,28000,28000,28000, 36 months,17.97,1011.85,4,5.0,5,45000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,NJ,26.77,Nov-07,6.0,8,9307,35.0,20,w,0.0,0.0,28431.79443,28431.79,28000.0,431.79,Apr-19,28487.7,,May-19,Joint App,16209,1,52.0,6902,,3,4656,35.0,26600,3,2026.0,17293.0,35.0,81.0,136,10,10,10.0,22.0,6.0,5,5,7,13,3,7,17,5,8,1,85.0,69879,16209,26600,43279
1207,1207,1207,14000,14000,14000, 60 months,17.19,349.37,5,1.0,5,60000.0,Not Verified,Mar-19,Fully Paid,other,MI,14.64,Sep-09,33.0,6,4537,27.8,12,w,0.0,0.0,14007.8883,14007.89,14000.0,7.89,Apr-19,14034.63,,Mar-19,Individual,27102,1,31.0,22565,,2,3314,28.0,16300,2,4517.0,9829.0,31.3,55.0,114,12,12,12.0,15.0,33.0,2,3,4,7,2,5,10,3,6,1,91.7,53876,27102,14300,37576
1227,1227,1227,26000,26000,26000, 60 months,15.57,626.35,5,10.0,6,69000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,MD,22.9,Nov-93,,20,47458,49.6,27,w,0.0,0.0,26013.2691,26013.27,26000.0,13.27,Apr-19,26058.25,,Mar-19,Individual,152059,1,25.0,6059,74.0,5,8261,52.0,95600,5,7603.0,40423.0,49.0,156.0,304,5,5,5.0,,,14,17,14,14,4,17,20,17,20,1,100.0,240788,53517,79200,8188
1264,1264,1264,35000,35000,35000, 36 months,7.02,1081.02,7,8.0,6,101000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,WA,5.68,Nov-09,,7,1516,13.1,13,w,0.0,0.0,35054.6,35054.6,35000.0,54.6,Apr-19,35081.9,,Apr-19,Individual,371367,1,17.0,16909,72.0,1,750,53.0,11600,3,61895.0,10084.0,13.1,102.0,112,1,1,1.0,17.0,,4,4,5,5,7,5,5,4,7,1,100.0,411376,18425,11600,23396
1267,1267,1267,40000,40000,40000, 60 months,16.4,981.25,5,1.0,6,130000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,MI,8.49,Aug-91,6.0,19,23126,41.7,30,w,0.0,0.0,40888.33431000001,40888.33,40000.0,888.33,Apr-19,40961.22,,May-19,Individual,234753,5,11.0,56417,51.0,3,7277,45.0,55400,4,12355.0,19882.0,53.5,144.0,331,7,7,9.0,,6.0,7,9,8,14,6,13,21,9,19,4,76.7,305473,79543,42800,73523
1319,1319,1319,6000,6000,6000, 36 months,17.19,214.49,5,1.0,5,77500.0,Not Verified,Mar-19,Charged Off,other,NY,13.95,Nov-99,9.0,5,185,37.0,8,w,6000.0,6000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,47754,4,17.0,47569,66.0,0,185,66.0,500,1,9551.0,315.0,37.0,139.0,231,31,17,31.0,,9.0,1,1,1,2,6,1,2,1,5,0,87.5,72709,47754,500,72209
1370,1370,1370,5000,5000,5000, 36 months,20.0,185.82,4,,6,44000.0,Not Verified,Mar-19,Charged Off,credit_card,OK,28.72,Mar-77,,15,30612,54.6,23,w,5000.0,5000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,30612,0,130.0,0,,5,5650,55.0,56100,5,2041.0,12785.0,64.6,130.0,504,13,13,16.0,1.0,,9,13,9,10,1,15,21,13,15,0,100.0,56100,30612,36100,0
1420,1420,1420,5000,5000,5000, 36 months,20.0,185.82,4,,4,24000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,FL,5.0,Sep-97,,3,4001,56.0,17,f,0.0,0.0,5008.334444,5008.33,5000.0,8.33,Apr-19,5019.44,,Mar-19,Individual,4001,0,16.0,0,0.0,3,2226,56.0,7200,3,1333.0,2400.0,56.0,36.0,258,4,4,4.0,0.0,,3,3,5,5,3,3,14,3,3,2,100.0,7200,4001,7200,0
1474,1474,1474,18000,18000,18000, 36 months,8.19,565.64,7,1.0,4,224000.0,Not Verified,Mar-19,Fully Paid,credit_card,CA,14.83,Jul-93,55.0,16,9581,24.0,29,w,0.0,0.0,18004.8321,18004.83,18000.0,4.83,Apr-19,18021.21,,May-19,Individual,70557,4,10.0,35345,56.0,3,4453,55.0,39900,7,4410.0,11296.0,35.5,94.0,97,8,8,20.0,10.0,55.0,2,6,4,8,7,11,20,6,16,2,96.6,128145,70557,17500,62614
1509,1509,1509,16000,16000,16000, 36 months,22.5,615.2,4,6.0,5,60000.0,Source Verified,Mar-19,Fully Paid,credit_card,NY,15.16,Oct-09,,7,11211,40.8,12,w,0.0,0.0,16310.0,16310.0,16000.0,310.0,May-19,16350.0,,Apr-19,Individual,18724,2,4.0,7513,39.0,0,7758,40.0,27500,2,2675.0,1989.0,84.9,38.0,113,33,4,77.0,4.0,,2,2,3,3,5,5,7,2,7,1,100.0,46993,18724,13200,19493
1510,1510,1510,10000,10000,10000, 36 months,8.19,314.25,7,10.0,6,118000.0,Source Verified,Mar-19,Charged Off,credit_card,CA,27.82,Mar-92,,20,125831,63.1,33,w,9726.7,9726.7,305.15,305.15,273.3,31.85,Apr-19,314.25,Jun-19,May-19,Individual,740634,5,7.0,29215,62.0,2,11635,63.0,159200,8,38981.0,26765.0,65.7,94.0,324,4,4,28.0,11.0,,7,10,11,16,10,14,20,10,20,4,100.0,803204,155046,78000,47204
1521,1521,1521,1200,1200,1200, 36 months,15.57,41.94,5,5.0,5,60000.0,Not Verified,Mar-19,Fully Paid,car,CA,22.5,Mar-08,47.0,7,15790,58.5,16,f,0.0,0.0,1222.62671,1222.63,1200.0,22.63,Apr-19,1224.71,,May-19,Individual,30199,2,13.0,14409,33.0,1,7334,43.0,27000,2,4314.0,1070.0,90.7,122.0,132,13,13,68.0,13.0,47.0,2,4,2,3,6,5,9,4,7,0,87.5,70326,30199,11500,43326
1523,1523,1523,30925,30925,30925, 60 months,14.74,731.49,5,10.0,5,66000.0,Source Verified,Mar-19,Fully Paid,credit_card,AR,26.55,Oct-83,,10,7690,34.0,21,w,0.0,0.0,30939.93952,30939.94,30925.0,14.94,Apr-19,30990.59,,May-19,Individual,220450,4,9.0,62524,86.0,1,3842,72.0,22600,6,24494.0,14910.0,34.0,98.0,106,18,9,18.0,9.0,,3,3,3,6,10,3,8,3,10,2,100.0,249418,70425,22600,72436
1641,1641,1641,40000,40000,39975, 60 months,15.57,963.61,5,10.0,5,72000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,VA,20.9,Feb-07,,7,46108,93.5,8,f,0.0,0.0,40020.414,39995.4,40000.0,20.41,Apr-19,40089.61,,Mar-19,Individual,46108,0,37.0,0,,0,11166,94.0,49300,0,6587.0,3576.0,91.6,37.0,145,36,36,36.0,,,6,7,6,6,1,7,7,7,7,0,100.0,49300,46108,42500,0
1651,1651,1651,3000,3000,2750, 36 months,11.71,99.23,6,,6,54000.0,Not Verified,Mar-19,Fully Paid,other,CA,14.47,Apr-11,,7,1308,14.1,11,f,0.0,0.0,3026.328079,2774.13,3000.0,26.33,Apr-19,3030.23,,May-19,Individual,222031,1,14.0,14188,53.0,4,1295,43.0,9300,7,31719.0,705.0,64.8,28.0,95,2,2,16.0,8.0,,1,2,2,4,3,5,7,2,7,2,100.0,243328,15496,2000,27028
1695,1695,1695,3000,3000,3000, 36 months,11.71,99.23,6,2.0,4,48000.0,Source Verified,Mar-19,Fully Paid,major_purchase,NC,18.1,Aug-06,42.0,20,3720,12.7,39,f,0.0,0.0,3003.906667,3003.91,3000.0,3.91,Apr-19,3007.81,,Apr-19,Individual,61117,12,4.0,57397,94.0,3,3090,67.0,29300,6,3217.0,14907.0,19.9,138.0,151,5,4,5.0,3.0,42.0,3,4,4,10,18,8,21,4,20,4,97.4,90616,61117,18600,61316
1734,1734,1734,9000,9000,9000, 36 months,14.74,310.85,5,1.0,5,46000.0,Not Verified,Mar-19,Fully Paid,credit_card,SC,30.08,Jun-05,64.0,12,13487,56.4,23,w,0.0,0.0,9103.015977,9103.02,9000.0,103.02,Apr-19,9117.76,,May-19,Individual,34171,7,18.0,20684,63.0,1,9090,60.0,23900,3,2848.0,3310.0,73.3,165.0,145,18,18,111.0,1.0,,1,3,2,3,16,5,7,3,12,0,73.9,56565,34171,12400,32665
1778,1778,1778,40000,40000,40000, 36 months,7.56,1245.36,7,10.0,6,150000.0,Verified,Mar-19,Fully Paid,other,OH,6.85,Feb-01,27.0,10,5706,15.8,35,w,0.0,0.0,40058.8,40058.8,40000.0,58.8,Apr-19,92.4,,May-19,Individual,141968,3,17.0,22401,68.0,6,5661,41.0,36100,8,14197.0,19339.0,22.6,135.0,217,2,2,2.0,2.0,29.0,1,2,4,9,13,6,21,2,10,1,91.2,196750,28107,25000,33150
1877,1877,1877,10000,10000,10000, 36 months,7.02,308.87,7,1.0,6,195000.0,Not Verified,Mar-19,Fully Paid,home_improvement,NY,20.67,Nov-97,,17,160836,21.1,33,w,0.0,0.0,10096.32827,10096.33,10000.0,96.33,Apr-19,10104.13,,May-19,Individual,590351,3,11.0,17981,34.0,0,13331,24.0,258798,1,34727.0,76772.0,23.2,151.0,256,28,11,28.0,11.0,,4,5,8,9,14,11,14,5,17,1,100.0,794534,178889,100000,52876
1897,1897,1897,15000,15000,15000, 36 months,7.02,463.3,7,6.0,6,63000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,AZ,28.65,Mar-84,70.0,18,3601,6.8,39,w,0.0,0.0,15003.1005,15003.1,15000.0,3.1,Apr-19,15014.8,,Mar-19,Individual,241182,6,6.0,37490,73.0,4,2302,39.0,53000,6,14187.0,42399.0,7.8,154.0,420,4,4,4.0,7.0,80.0,2,2,8,15,14,11,23,2,18,5,94.9,317949,41091,46000,51199
1917,1917,1917,6000,6000,6000, 36 months,10.33,194.54,6,1.0,5,25000.0,Not Verified,Mar-19,Fully Paid,credit_card,OH,28.04,Jun-04,21.0,4,4991,80.5,10,w,0.0,0.0,6002.028233,6002.03,6000.0,2.03,Apr-19,6008.92,,Mar-19,Individual,27997,1,19.0,23006,75.0,0,4991,76.0,6200,1,9332.0,509.0,90.7,169.0,177,71,19,177.0,19.0,21.0,1,1,1,1,6,3,4,1,4,0,90.0,37005,27997,5500,30805
1920,1920,1920,13000,13000,13000, 36 months,7.02,401.53,7,1.0,6,160000.0,Not Verified,Mar-19,Fully Paid,major_purchase,CA,11.56,Dec-06,,10,13061,35.1,22,w,0.0,0.0,13085.68225,13085.68,13000.0,85.68,May-19,19.29,,May-19,Individual,209615,3,20.0,34950,41.0,2,5866,38.0,37200,4,20962.0,17216.0,35.5,147.0,124,9,9,9.0,7.0,,3,4,4,10,7,6,13,4,10,1,100.0,277114,48011,26700,73614
2048,2048,2048,40000,40000,40000, 60 months,8.19,814.7,7,1.0,4,70000.0,Verified,Mar-19,Fully Paid,other,MA,35.16,Nov-74,,13,26139,36.9,20,w,0.0,0.0,40010.738,40010.74,40000.0,10.74,Apr-19,40047.14,,Mar-19,Joint App,495440,3,6.0,64408,57.0,0,22774,45.0,70900,3,38111.0,44761.0,36.9,152.0,532,43,6,50.0,0.0,,5,5,6,9,6,6,11,5,13,2,100.0,620601,90547,70900,87201
2077,2077,2077,6025,6025,6025, 36 months,12.4,201.27,6,10.0,6,50000.0,Source Verified,Mar-19,Fully Paid,credit_card,MA,4.72,Nov-03,9.0,6,4493,32.1,17,w,0.0,0.0,6081.4714950000025,6081.47,6025.0,56.47,Apr-19,6089.77,,Apr-19,Individual,4493,0,,0,,2,2064,32.0,14000,2,749.0,6767.0,37.9,,184,3,3,25.0,1.0,9.0,3,5,3,5,0,6,16,5,6,1,64.7,14000,4493,10900,0
2136,2136,2136,20000,20000,20000, 36 months,20.0,743.28,4,1.0,5,80000.0,Source Verified,Mar-19,Fully Paid,small_business,NJ,0.42,Feb-15,,11,69,0.0,12,w,0.0,0.0,20244.44889,20244.45,20000.0,244.45,Apr-19,20288.89,,Apr-19,Individual,69,0,,0,0.0,2,66,0.0,38300,2,6.0,3482.0,0.0,,49,7,7,7.0,7.0,,11,11,11,11,0,11,11,2,11,1,100.0,38300,69,38300,0
2143,2143,2143,18000,18000,18000, 36 months,20.0,668.95,4,2.0,5,38000.0,Not Verified,Mar-19,Charged Off,debt_consolidation,IL,25.96,Jan-03,22.0,9,10987,62.1,19,w,18000.0,18000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,10987,0,55.0,0,,0,4952,62.0,17700,0,1221.0,2443.0,68.7,157.0,194,42,42,53.0,,36.0,3,5,4,5,5,9,14,5,9,0,83.3,17700,10987,7800,0
2220,2220,2220,20000,20000,20000, 60 months,28.8,632.41,4,10.0,6,156000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,FL,10.88,Jan-09,,14,39409,54.1,28,w,0.0,0.0,20543.02458,20543.02,20000.0,543.02,Apr-19,20607.02,,May-19,Individual,285421,2,9.0,45785,91.0,3,14245,57.0,72800,7,20387.0,19428.0,66.6,122.0,95,10,9,10.0,6.0,,8,9,8,12,10,11,17,9,14,4,100.0,370093,85194,58200,48876
2235,2235,2235,7500,7500,7500, 36 months,14.74,259.04,5,10.0,5,70000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,FL,15.19,Dec-97,25.0,12,17872,30.1,29,w,0.0,0.0,7524.57,7524.57,7500.0,24.57,Apr-19,7536.85,,Apr-19,Individual,22021,1,2.0,4149,69.0,1,7946,34.0,59300,4,1835.0,30431.0,25.4,154.0,255,5,2,5.0,2.0,25.0,3,8,4,8,7,11,20,8,12,3,89.7,65300,22021,40800,6000
2237,2237,2237,3000,3000,2750, 36 months,11.71,99.23,6,5.0,5,38400.0,Source Verified,Mar-19,Charged Off,debt_consolidation,AL,3.06,May-08,12.0,2,1632,15.1,5,f,3000.0,2750.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,1632,0,130.0,0,,2,361,15.0,10800,2,816.0,2639.0,12.0,130.0,57,19,19,20.0,8.0,12.0,1,2,1,3,1,2,4,2,2,0,100.0,10800,1632,3000,0
2259,2259,2259,11000,11000,11000, 60 months,13.08,250.74,6,10.0,5,150000.0,Not Verified,Mar-19,Fully Paid,house,NJ,9.62,Jun-00,,4,123,0.4,9,w,0.0,0.0,11012.786,11012.79,11000.0,12.79,Apr-19,11028.78,,Apr-19,Individual,82200,2,11.0,82077,75.0,0,123,7.0,30700,2,20550.0,30577.0,0.4,225.0,174,26,11,26.0,12.0,,1,1,2,4,4,2,5,1,4,2,100.0,121187,82200,30700,90487
2266,2266,2266,6000,6000,6000, 36 months,7.56,186.81,7,10.0,6,125000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,NY,11.53,Oct-04,3.0,13,2703,5.5,57,w,0.0,0.0,6052.42109,6052.42,6000.0,52.42,May-19,20.26,,May-19,Individual,342055,3,7.0,24879,59.0,7,2343,30.0,49000,14,26312.0,21257.0,9.9,134.0,173,3,3,6.0,4.0,,1,4,3,14,15,9,39,4,13,8,96.5,406852,27582,23600,42427
