loan_status,int_rate,purpose,addr_state,funded_amnt,installment,emp_length,annual_inc,last_pymnt_amnt,num_actv_rev_tl,num_sats,avg_cur_bal
Fully Paid,11.02%,debt_consolidation,MA,40000,870.1,3 years,500000.0,40257.13,1,6,173899.0
Charged Off,17.97%,other,NY,3600,130.1,2 years,69000.0,0.0,11,22,14567.0
Fully Paid,12.40%,debt_consolidation,CA,20000,668.12,10+ years,104720.0,20336.34,10,14,5645.0
Fully Paid,12.40%,credit_card,CT,21600,484.86,1 year,200000.0,21623.44,8,16,21920.0
Fully Paid,8.19%,debt_consolidation,VA,5000,157.13,3 years,88000.0,5008.75,2,6,4578.0
Fully Paid,20.00%,debt_consolidation,TN,6000,222.99,10+ years,51600.0,6076.67,2,12,2940.0
Fully Paid,17.19%,car,CA,5000,178.74,< 1 year,56000.0,5017.95,7,13,687.0
Fully Paid,7.02%,debt_consolidation,MN,6000,185.32,10+ years,55000.0,6032.76,3,6,35845.0
Fully Paid,17.19%,debt_consolidation,CT,35000,873.42,10+ years,94000.0,35056.15,5,17,3729.0
Fully Paid,15.57%,credit_card,IL,16000,385.45,< 1 year,105000.0,16023.25,4,9,15733.0
Fully Paid,13.90%,home_improvement,GA,18000,417.9,2 years,128000.0,18022.94,5,11,37125.0
Fully Paid,16.40%,debt_consolidation,MD,10000,353.55,10+ years,125000.0,10265.91,3,10,9307.0
Fully Paid,12.40%,debt_consolidation,MI,30000,673.42,,85000.0,30058.69,6,9,4852.0
Fully Paid,13.08%,medical,GA,3025,102.05,< 1 year,60000.0,3064.42,1,4,39965.0
Fully Paid,14.74%,debt_consolidation,KS,4800,165.79,10+ years,96000.0,4885.86,5,11,7916.0
Fully Paid,11.71%,credit_card,CT,10000,330.76,5 years,31000.0,10010.73,2,4,20742.0
Late (16-30 days),8.81%,debt_consolidation,OK,20000,634.23,10+ years,100000.0,634.23,4,11,10782.0
Fully Paid,8.81%,vacation,NY,5000,158.56,10+ years,124000.0,5003.98,10,16,19353.0
Fully Paid,14.74%,home_improvement,IL,10000,236.54,10+ years,56000.0,10183.55,4,5,53570.0
Fully Paid,14.74%,debt_consolidation,NY,12000,414.46,10+ years,52000.0,12272.3,6,16,1580.0
Late (31-120 days),16.40%,credit_card,CA,15000,530.33,,45000.0,530.33,12,17,1515.0
Fully Paid,11.02%,debt_consolidation,NJ,24000,522.06,4 years,75000.0,24023.14,8,20,1197.0
Fully Paid,10.33%,debt_consolidation,NM,20000,428.2,,100000.0,20018.94,6,15,19324.0
Fully Paid,10.33%,other,TN,6400,207.51,10+ years,65000.0,6414.69,5,14,2546.0
Fully Paid,20.00%,debt_consolidation,NJ,10000,264.94,10+ years,43000.0,10083.33,5,11,1587.0
Fully Paid,10.33%,debt_consolidation,CA,4500,145.91,6 years,105000.0,4566.47,4,11,33134.0
Fully Paid,13.08%,credit_card,CA,15000,341.92,2 years,132000.0,15017.99,6,12,41066.0
Fully Paid,16.40%,debt_consolidation,NJ,7000,247.49,7 years,91000.0,7031.89,12,25,11738.0
Fully Paid,20.00%,debt_consolidation,MO,30000,794.82,1 year,170000.0,30927.86,12,24,16712.0
Fully Paid,11.02%,debt_consolidation,AZ,5000,163.75,2 years,65000.0,5083.28,3,9,20739.0
Fully Paid,8.19%,debt_consolidation,MD,18000,565.64,< 1 year,88000.0,32.67,6,10,1865.0
Fully Paid,16.40%,debt_consolidation,WI,10000,353.55,< 1 year,82000.0,10015.31,4,9,28037.0
Fully Paid,17.97%,credit_card,CA,14000,355.28,10+ years,36000.0,14023.48,6,7,2001.0
Fully Paid,16.40%,credit_card,CA,25000,883.88,10+ years,45000.0,25079.72,7,23,6797.0
Late (31-120 days),11.71%,debt_consolidation,TX,8000,264.61,10+ years,30000.0,279.61,4,7,3772.0
Charged Off,13.90%,debt_consolidation,HI,5000,170.65,< 1 year,52000.0,170.65,6,7,2162.0
Fully Paid,13.90%,debt_consolidation,PA,22000,510.77,10+ years,100000.0,22194.37,6,15,14035.0
Fully Paid,15.57%,major_purchase,WI,13000,313.18,2 years,120000.0,13134.94,3,11,34593.0
Fully Paid,11.02%,small_business,MI,39075,1279.64,< 1 year,1750000.0,39725.82,4,20,13251.0
Fully Paid,7.56%,debt_consolidation,OR,2500,77.84,10+ years,41000.0,101.81,2,8,26059.0
Fully Paid,10.33%,home_improvement,CA,16000,342.56,1 year,162000.0,16015.43,8,11,1745.0
Fully Paid,6.46%,credit_card,NE,5000,153.16,10+ years,32000.0,5036.54,7,13,10613.0
Fully Paid,13.08%,credit_card,NY,10000,227.95,4 years,70000.0,10079.93,4,21,9102.0
Fully Paid,17.19%,credit_card,NY,12000,428.97,6 years,61500.0,22.43,10,17,1515.0
Fully Paid,13.90%,debt_consolidation,NJ,14500,494.88,10+ years,61000.0,14639.97,5,15,1689.0
Fully Paid,7.56%,debt_consolidation,HI,7000,217.94,9 years,147000.0,7004.78,5,16,3386.0
Fully Paid,11.02%,credit_card,TX,37625,1232.16,10+ years,144552.0,37663.7,10,21,22380.0
Fully Paid,15.57%,debt_consolidation,NJ,15000,361.36,10+ years,145000.0,15021.41,3,7,17043.0
Late (16-30 days),20.00%,credit_card,TX,20000,529.88,5 years,90000.0,0.0,9,19,17787.0
Fully Paid,7.56%,debt_consolidation,NC,9000,280.21,8 years,83000.0,9032.13,2,7,64480.0
Late (31-120 days),11.71%,other,TX,6500,215.0,,36000.0,0.0,4,9,1056.0
Fully Paid,11.71%,credit_card,MT,10000,330.76,6 years,78500.0,10010.93,7,10,1292.0
Fully Paid,28.80%,debt_consolidation,MD,25000,1044.93,9 years,108000.0,26091.1,6,12,20138.0
Late (31-120 days),16.40%,debt_consolidation,CA,19200,471.0,< 1 year,92000.0,0.0,2,5,73.0
Fully Paid,15.57%,debt_consolidation,MD,26450,637.19,10+ years,58780.0,26593.63,7,8,33749.0
Fully Paid,7.02%,other,CA,7200,222.39,9 years,144000.0,7219.66,7,19,25924.0
Fully Paid,6.46%,debt_consolidation,TX,7700,235.86,7 years,90000.0,7738.69,2,7,44092.0
Fully Paid,22.50%,debt_consolidation,WV,28000,781.32,9 years,102000.0,28092.75,3,6,6331.0
In Grace Period,22.50%,debt_consolidation,CA,2000,76.9,,18000.0,76.9,4,5,1458.0
Fully Paid,13.08%,debt_consolidation,OH,5000,168.67,,50000.0,5076.12,5,9,1634.0
Fully Paid,10.33%,other,CA,2200,71.33,< 1 year,40800.0,2228.18,1,4,3003.0
Fully Paid,15.57%,credit_card,CA,3000,104.84,10+ years,55000.0,32.76,3,11,5602.0
Fully Paid,6.46%,credit_card,FL,24000,735.14,5 years,101000.0,24030.53,2,15,2067.0
Fully Paid,28.80%,debt_consolidation,CA,10000,417.97,,61000.0,10381.44,6,9,3384.0
Late (31-120 days),17.97%,home_improvement,AZ,13600,345.13,,42000.0,0.0,5,14,15496.0
Fully Paid,15.57%,home_improvement,GA,4000,139.79,,57612.0,4009.46,7,12,4790.0
Fully Paid,10.33%,debt_consolidation,TX,15000,486.34,3 years,70000.0,485.77,3,5,2167.0
Fully Paid,20.00%,debt_consolidation,CA,15000,397.41,2 years,83000.0,15332.51,4,11,34900.0
In Grace Period,13.90%,debt_consolidation,MO,12000,278.6,2 years,233452.0,278.6,9,17,3227.0
Fully Paid,17.97%,debt_consolidation,AR,35000,1264.81,< 1 year,78500.0,35092.6,10,12,24373.0
Fully Paid,22.50%,major_purchase,OH,28000,781.32,3 years,150000.0,28525.0,3,7,35957.0
Fully Paid,22.50%,debt_consolidation,CA,6000,230.7,2 years,180000.0,6167.64,6,10,54120.0
In Grace Period,12.40%,small_business,ME,10000,334.06,< 1 year,30000.0,334.06,3,7,34004.0
Fully Paid,20.00%,debt_consolidation,MO,24000,891.93,7 years,72000.0,24700.38,5,17,11435.0
In Grace Period,7.56%,debt_consolidation,MO,5000,155.67,6 years,70000.0,5029.4,4,14,14194.0
Fully Paid,12.40%,debt_consolidation,NY,1000,33.41,,48600.0,1003.79,9,10,3008.0
Late (16-30 days),20.00%,debt_consolidation,NY,20000,529.88,10+ years,98000.0,0.0,3,4,389.0
In Grace Period,20.00%,debt_consolidation,UT,2200,81.76,1 year,45000.0,81.76,2,9,18172.0
In Grace Period,14.74%,credit_card,CA,10000,236.54,1 year,30000.0,236.54,5,8,1439.0
Fully Paid,13.08%,other,MA,6025,203.24,10+ years,56000.0,6036.6,1,4,1521.0
Fully Paid,13.90%,debt_consolidation,MA,14000,477.81,9 years,82000.0,14075.68,7,17,3479.0
Fully Paid,17.97%,home_improvement,TX,12000,304.53,4 years,80000.0,12185.63,2,6,8198.0
Late (31-120 days),20.00%,debt_consolidation,OH,7200,267.58,2 years,50000.0,0.0,4,10,14023.0
In Grace Period,13.90%,home_improvement,PA,25000,580.42,,64800.0,580.42,0,10,3045.0
Fully Paid,11.02%,debt_consolidation,VA,10000,327.49,10+ years,29286.0,10016.07,7,17,8333.0
In Grace Period,16.40%,home_improvement,FL,21375,755.71,10+ years,160000.0,755.71,3,6,3116.0
Fully Paid,17.97%,debt_consolidation,TX,35000,888.2,10+ years,103000.0,35092.6,6,13,10933.0
In Grace Period,13.90%,other,OH,6600,225.26,2 years,50000.0,225.26,8,16,13767.0
In Grace Period,20.00%,home_improvement,LA,10000,371.64,10+ years,71000.0,371.64,5,9,26515.0
Fully Paid,22.50%,car,IN,14400,401.82,3 years,91920.0,14456.7,5,16,4272.0
In Grace Period,11.02%,home_improvement,FL,20000,435.05,6 years,39900.0,435.05,6,11,5839.0
Fully Paid,6.46%,credit_card,CA,8000,245.05,4 years,75000.0,8028.71,3,4,6803.0
Fully Paid,10.33%,small_business,MD,20000,648.45,10+ years,120000.0,20143.47,2,6,15014.0
In Grace Period,11.71%,debt_consolidation,SC,20000,661.52,1 year,425000.0,661.52,6,14,24860.0
Fully Paid,15.57%,debt_consolidation,TX,10000,240.91,10+ years,125008.0,10142.58,7,30,5567.0
Fully Paid,17.19%,debt_consolidation,CT,27875,996.46,4 years,133000.0,28391.54,14,28,14829.0
In Grace Period,16.40%,major_purchase,CA,36000,1272.78,5 years,129000.0,1272.78,3,8,2330.0
Fully Paid,17.19%,debt_consolidation,OH,2525,90.27,< 1 year,24000.0,2509.76,7,15,2372.0
In Grace Period,14.74%,other,CT,1000,34.54,,15000.0,34.54,1,12,1623.0
In Grace Period,16.40%,debt_consolidation,WA,3500,123.75,10+ years,51000.0,123.75,2,6,5260.0
Charged Off,17.97%,other,KS,4800,173.46,2 years,71450.0,0.0,4,10,27779.0
Fully Paid,13.90%,debt_consolidation,AR,20000,682.59,< 1 year,60000.0,20299.6,8,13,12691.0
Fully Paid,17.19%,debt_consolidation,NC,32000,798.56,< 1 year,30000.0,32158.23,4,10,40203.0
Fully Paid,10.33%,debt_consolidation,NC,30000,642.3,7 years,38997.0,30343.23,1,9,19.0
Late (31-120 days),20.00%,credit_card,CA,5000,185.82,10+ years,62000.0,0.0,3,8,16812.0
Fully Paid,8.81%,medical,FL,1000,31.72,5 years,100000.0,1002.69,1,16,4697.0
Fully Paid,8.81%,credit_card,NY,4800,152.22,8 years,25000.0,4736.54,1,2,7065.0
Late (31-120 days),16.40%,debt_consolidation,VA,18000,441.56,,67152.0,0.0,1,5,3288.0
Late (31-120 days),15.57%,debt_consolidation,NY,32000,770.89,10+ years,275000.0,0.0,6,8,5245.0
In Grace Period,12.40%,debt_consolidation,MA,7000,233.84,,37600.0,467.68,3,5,1045.0
Fully Paid,20.00%,debt_consolidation,CA,15000,557.46,2 years,48000.0,14899.09,6,12,1934.0
Fully Paid,8.81%,other,KS,2400,76.11,10+ years,62000.0,2422.66,9,11,4244.0
Fully Paid,8.81%,debt_consolidation,WA,17000,539.1,5 years,360000.0,16731.22,5,13,19833.0
Fully Paid,17.19%,debt_consolidation,IN,25000,623.88,1 year,65000.0,25310.38,6,17,3072.0
Fully Paid,20.00%,debt_consolidation,LA,20000,529.88,10+ years,40000.0,20200.0,8,10,2331.0
Fully Paid,15.57%,debt_consolidation,MA,14525,349.91,2 years,39000.0,14594.1,2,6,22017.0
Fully Paid,13.08%,house,MI,8000,269.86,3 years,75000.0,8014.97,7,13,11838.0
Fully Paid,7.56%,other,TX,3000,93.41,4 years,48000.0,3005.04,1,9,22972.0
Fully Paid,16.40%,debt_consolidation,NJ,20000,490.63,4 years,80000.0,20381.48,11,18,9557.0
Fully Paid,12.40%,home_improvement,TX,16800,377.12,10+ years,55000.0,17076.5,6,13,11290.0
Fully Paid,20.00%,debt_consolidation,FL,10000,264.94,5 years,47000.0,10072.2,4,8,3142.0
Fully Paid,6.46%,debt_consolidation,MO,11000,336.94,10+ years,100000.0,11103.47,3,6,57205.0
Fully Paid,8.81%,other,SD,1750,55.5,1 year,48000.0,11.13,1,9,21743.0
In Grace Period,14.74%,credit_card,GA,3025,104.48,5 years,50000.0,104.48,2,3,752.0
Fully Paid,8.81%,credit_card,CA,14000,443.96,1 year,155000.0,14129.85,7,38,2977.0
Fully Paid,11.02%,other,FL,30000,982.45,< 1 year,60000.0,30122.29,1,7,3490.0
Fully Paid,14.74%,debt_consolidation,FL,8000,276.31,5 years,20000.0,48.04,6,8,3131.0
In Grace Period,17.19%,debt_consolidation,WA,40000,1429.9,< 1 year,73600.0,1429.9,11,24,17988.0
Fully Paid,14.74%,debt_consolidation,GA,30000,709.62,8 years,52000.0,30502.08,4,7,5695.0
Fully Paid,8.81%,debt_consolidation,MO,11500,364.69,7 years,45000.0,11514.58,3,11,3687.0
Fully Paid,13.90%,debt_consolidation,IN,20000,682.59,6 years,60000.0,20040.0,2,23,8378.0
Late (31-120 days),13.08%,home_improvement,CA,40000,1349.3,10+ years,128000.0,0.0,1,7,2396.0
In Grace Period,22.50%,debt_consolidation,NY,4400,169.18,10+ years,51480.0,169.18,5,7,1999.0
In Grace Period,11.02%,home_improvement,NY,20000,654.97,9 years,105000.0,654.97,2,6,4071.0
In Grace Period,16.40%,credit_card,TX,16000,392.5,1 year,120000.0,392.5,8,14,35136.0
Fully Paid,6.46%,debt_consolidation,NH,37900,1160.91,10+ years,109000.0,38208.9,9,15,3706.0
Fully Paid,14.74%,debt_consolidation,TX,10000,236.54,10+ years,120000.0,10143.31,6,22,5634.0
In Grace Period,13.08%,home_improvement,CA,32000,1079.44,3 years,150000.0,1.06,5,12,64460.0
Fully Paid,13.08%,debt_consolidation,LA,12000,404.79,10+ years,75000.0,12022.45,13,20,2787.0
In Grace Period,8.19%,debt_consolidation,MA,12000,377.09,6 years,110000.0,377.09,6,30,10856.0
In Grace Period,14.74%,debt_consolidation,OH,2200,75.99,5 years,140000.0,75.99,10,15,5267.0
Fully Paid,13.90%,debt_consolidation,LA,3200,109.22,4 years,25000.0,3218.53,6,6,1045.0
