,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
58,15000,15000,14.74,518.08,5,10.0,94000.0,Fully Paid,house,IL,15031.81,18808.0,6
59,4000,4000,12.4,133.63,6,2.0,68500.0,Charged Off,home_improvement,CA,0.0,716.0,3
60,5000,5000,20.0,185.82,4,7.0,50000.0,Fully Paid,other,AZ,52.78,14218.0,6
61,9000,9000,13.08,303.6,6,8.0,100000.0,Fully Paid,other,CA,9016.84,342.0,9
62,17000,17000,17.97,614.34,4,5.0,37000.0,Charged Off,credit_card,CA,0.0,5254.0,2
63,21775,21775,17.97,786.9,4,3.0,150000.0,Charged Off,debt_consolidation,GA,0.0,1646.0,4
64,20000,20000,14.74,690.77,5,10.0,145000.0,Fully Paid,debt_consolidation,OR,629.62,45270.0,7
65,16500,16500,12.4,551.2,6,6.0,97000.0,Fully Paid,debt_consolidation,OR,16811.76,40514.0,5
66,20000,20000,20.0,743.28,4,,114146.0,Fully Paid,debt_consolidation,AZ,20233.33,10808.0,3
67,29500,29500,14.74,697.79,5,10.0,80000.0,Fully Paid,debt_consolidation,NC,29922.06,11012.0,4
68,12600,12600,7.02,389.17,7,10.0,50000.0,Fully Paid,debt_consolidation,OK,12617.22,7023.0,2
69,40000,40000,8.19,814.7,7,6.0,176000.0,Fully Paid,debt_consolidation,VA,40118.3,45391.0,4
70,3000,3000,8.19,94.28,7,10.0,105000.0,Fully Paid,debt_consolidation,MA,2946.83,10813.0,15
71,5000,5000,8.19,157.13,7,,96000.0,Fully Paid,debt_consolidation,GA,5056.32,40430.0,4
72,22000,22000,8.19,691.33,7,1.0,103000.0,Fully Paid,debt_consolidation,VA,22025.93,6531.0,6
73,1000,1000,8.19,31.43,7,10.0,65000.0,Fully Paid,debt_consolidation,NC,1006.6,39393.0,4
74,12950,12950,22.5,497.93,4,1.0,47000.0,Fully Paid,debt_consolidation,MI,12991.93,8260.0,4
75,1500,1500,11.02,49.13,6,2.0,28000.0,Fully Paid,debt_consolidation,KS,1516.07,2589.0,3
76,40000,40000,11.71,1323.04,6,1.0,179000.0,Charged Off,medical,FL,0.0,2318.0,2
77,20000,20000,22.5,558.08,4,10.0,80000.0,Charged Off,credit_card,WI,0.0,5749.0,5
78,20000,20000,6.46,612.62,7,2.0,51000.0,Fully Paid,credit_card,NJ,20043.34,1964.0,4
79,1100,1100,20.0,40.88,4,5.0,27000.0,Fully Paid,major_purchase,IN,29.58,2045.0,3
80,18000,18000,11.71,595.37,6,1.0,48500.0,Fully Paid,debt_consolidation,WI,18042.45,2922.0,5
81,10000,10000,14.74,236.54,5,7.0,75000.0,Fully Paid,house,NJ,10021.21,7794.0,3
82,32000,32000,17.97,812.07,4,5.0,211000.0,Fully Paid,credit_card,CA,32527.12,17013.0,3
83,10000,10000,11.02,217.53,6,4.0,94000.0,Fully Paid,debt_consolidation,LA,2063.84,7786.0,4
84,2400,2400,20.0,89.2,4,10.0,45000.0,Fully Paid,vacation,ID,2425.33,21672.0,5
85,6000,6000,11.02,196.49,6,10.0,170000.0,Fully Paid,debt_consolidation,CA,6065.86,42114.0,6
86,8000,8000,20.0,297.31,4,2.0,130000.0,Fully Paid,debt_consolidation,UT,8255.23,25449.0,4
87,1500,1500,8.81,47.57,7,10.0,73000.0,Fully Paid,other,VA,1512.45,10402.0,4
88,6025,6025,15.57,210.55,5,,67000.0,Fully Paid,debt_consolidation,MA,6045.38,2652.0,8
89,15000,15000,6.46,459.47,7,10.0,35000.0,Fully Paid,credit_card,AZ,15013.54,10702.0,4
90,30000,30000,13.9,1023.88,5,10.0,250000.0,Charged Off,debt_consolidation,CA,0.0,68779.0,5
91,26000,26000,13.08,592.65,6,1.0,50000.0,Fully Paid,debt_consolidation,PA,26375.55,30238.0,3
92,1400,1400,7.02,43.25,7,1.0,47256.0,Fully Paid,credit_card,NY,1406.01,1855.0,1
93,33000,33000,11.02,717.83,6,2.0,78769.0,Fully Paid,credit_card,WA,33303.05,8933.0,7
94,1200,1200,12.4,40.09,6,2.0,42482.0,Fully Paid,other,CA,1209.09,3822.0,3
95,4000,4000,28.8,167.19,4,9.0,57500.0,Fully Paid,debt_consolidation,TX,4133.72,1720.0,7
96,22000,22000,8.19,691.33,7,10.0,100000.0,Fully Paid,home_improvement,PA,22145.15,21783.0,9
97,15000,15000,17.19,374.33,5,2.0,100000.0,Fully Paid,debt_consolidation,NM,3679.7,16184.0,14
98,20000,20000,17.19,499.1,5,,46000.0,Fully Paid,debt_consolidation,GA,20200.55,5428.0,5
99,20000,20000,11.71,441.97,6,2.0,200000.0,Charged Off,debt_consolidation,WA,0.0,1915.0,5
100,24000,24000,8.19,754.18,7,10.0,50000.0,Fully Paid,credit_card,MS,24336.42,30614.0,4
101,14925,14925,16.4,366.13,5,3.0,133500.0,Fully Paid,home_improvement,UT,15202.95,56977.0,4
102,14000,14000,12.4,314.26,6,8.0,190000.0,Fully Paid,small_business,WA,14130.2,87775.0,3
103,1100,1100,7.56,34.25,7,1.0,92000.0,Fully Paid,medical,CA,1109.41,3350.0,2
104,12000,12000,12.4,400.87,6,3.0,53000.0,Fully Paid,debt_consolidation,NJ,12058.21,1779.0,5
105,40000,40000,6.46,1225.24,7,4.0,103000.0,Fully Paid,major_purchase,CT,40250.32,44904.0,2
106,4000,4000,17.19,142.99,5,6.0,50000.0,Fully Paid,credit_card,PA,26.74,2742.0,1
107,12000,12000,8.81,380.54,7,1.0,82000.0,Fully Paid,credit_card,NY,12021.09,24107.0,1
108,2800,2800,10.33,90.79,6,3.0,58000.0,Fully Paid,credit_card,IL,2816.07,1971.0,2
109,6000,6000,28.8,250.79,4,7.0,63000.0,Fully Paid,debt_consolidation,PA,6129.6,5600.0,5
110,26225,26225,7.56,816.49,7,10.0,118200.0,Fully Paid,debt_consolidation,PA,26263.55,9315.0,2
111,20000,20000,28.8,835.94,4,10.0,51000.0,Fully Paid,debt_consolidation,NV,20052.8,14320.0,7
112,18500,18500,13.08,421.69,6,3.0,88000.0,Fully Paid,credit_card,IN,18887.62,27551.0,3
113,8000,8000,11.71,264.61,6,,73336.0,Fully Paid,medical,AZ,8018.22,2126.0,2
114,7200,7200,12.4,240.53,6,3.0,86000.0,Fully Paid,credit_card,WA,7315.59,30187.0,4
115,18000,18000,12.4,404.05,6,10.0,46000.0,Fully Paid,debt_consolidation,CT,18099.2,20271.0,6
116,2000,2000,14.74,69.08,5,,50000.0,Fully Paid,credit_card,IL,2004.91,461.0,3
117,18000,18000,20.0,668.95,4,6.0,100000.0,Fully Paid,debt_consolidation,IN,18250.0,34897.0,3
118,4800,4800,7.02,148.26,7,1.0,58000.0,Fully Paid,other,TX,4001.05,1786.0,2
119,25000,25000,15.57,873.63,5,10.0,59000.0,Fully Paid,credit_card,AL,25035.68,7278.0,4
120,8000,8000,13.9,273.04,5,5.0,50000.0,Fully Paid,debt_consolidation,MO,8049.42,5378.0,6
121,16500,16500,12.4,370.38,6,9.0,35000.0,Fully Paid,debt_consolidation,OH,16676.18,5791.0,4
122,25000,25000,7.56,778.35,7,10.0,74000.0,Fully Paid,medical,WA,25053.81,17893.0,3
123,9600,9600,13.08,323.84,6,10.0,27000.0,Fully Paid,other,WI,9762.58,20600.0,2
124,21825,21825,22.5,839.17,4,,45000.0,Fully Paid,debt_consolidation,PA,21870.01,3458.0,7
125,12500,12500,8.81,396.4,7,,25000.0,Fully Paid,debt_consolidation,GA,2560.15,1122.0,4
126,17600,17600,28.8,556.52,4,9.0,40000.0,Fully Paid,debt_consolidation,NC,17647.31,4585.0,2
127,40000,40000,11.02,870.1,6,3.0,500000.0,Fully Paid,debt_consolidation,MA,40257.13,173899.0,1
128,3600,3600,17.97,130.1,4,2.0,69000.0,Charged Off,other,NY,0.0,14567.0,11
129,20000,20000,12.4,668.12,6,10.0,104720.0,Fully Paid,debt_consolidation,CA,20336.34,5645.0,10
130,21600,21600,12.4,484.86,6,1.0,200000.0,Fully Paid,credit_card,CT,21623.44,21920.0,8
131,5000,5000,8.19,157.13,7,3.0,88000.0,Fully Paid,debt_consolidation,VA,5008.75,4578.0,2
132,6000,6000,20.0,222.99,4,10.0,51600.0,Fully Paid,debt_consolidation,TN,6076.67,2940.0,2
133,5000,5000,17.19,178.74,5,1.0,56000.0,Fully Paid,car,CA,5017.95,687.0,7
134,6000,6000,7.02,185.32,7,10.0,55000.0,Fully Paid,debt_consolidation,MN,6032.76,35845.0,3
135,35000,35000,17.19,873.42,5,10.0,94000.0,Fully Paid,debt_consolidation,CT,35056.15,3729.0,5
136,16000,16000,15.57,385.45,5,1.0,105000.0,Fully Paid,credit_card,IL,16023.25,15733.0,4
137,18000,18000,13.9,417.9,5,2.0,128000.0,Fully Paid,home_improvement,GA,18022.94,37125.0,5
138,10000,10000,16.4,353.55,5,10.0,125000.0,Fully Paid,debt_consolidation,MD,10265.91,9307.0,3
139,30000,30000,12.4,673.42,6,,85000.0,Fully Paid,debt_consolidation,MI,30058.69,4852.0,6
140,3025,3025,13.08,102.05,6,1.0,60000.0,Fully Paid,medical,GA,3064.42,39965.0,1
141,4800,4800,14.74,165.79,5,10.0,96000.0,Fully Paid,debt_consolidation,KS,4885.86,7916.0,5
142,10000,10000,11.71,330.76,6,5.0,31000.0,Fully Paid,credit_card,CT,10010.73,20742.0,2
143,20000,20000,8.81,634.23,7,10.0,100000.0,Charged Off,debt_consolidation,OK,634.23,10782.0,4
144,5000,5000,8.81,158.56,7,10.0,124000.0,Fully Paid,vacation,NY,5003.98,19353.0,10
145,10000,10000,14.74,236.54,5,10.0,56000.0,Fully Paid,home_improvement,IL,10183.55,53570.0,4
146,12000,12000,14.74,414.46,5,10.0,52000.0,Fully Paid,debt_consolidation,NY,12272.3,1580.0,6
147,15000,15000,16.4,530.33,5,,45000.0,Charged Off,credit_card,CA,530.33,1515.0,12
148,24000,24000,11.02,522.06,6,4.0,75000.0,Fully Paid,debt_consolidation,NJ,24023.14,1197.0,8
149,20000,20000,10.33,428.2,6,,100000.0,Fully Paid,debt_consolidation,NM,20018.94,19324.0,6
150,6400,6400,10.33,207.51,6,10.0,65000.0,Fully Paid,other,TN,6414.69,2546.0,5
151,10000,10000,20.0,264.94,4,10.0,43000.0,Fully Paid,debt_consolidation,NJ,10083.33,1587.0,5
152,4500,4500,10.33,145.91,6,6.0,105000.0,Fully Paid,debt_consolidation,CA,4566.47,33134.0,4
153,15000,15000,13.08,341.92,6,2.0,132000.0,Fully Paid,credit_card,CA,15017.99,41066.0,6
154,7000,7000,16.4,247.49,5,7.0,91000.0,Fully Paid,debt_consolidation,NJ,7031.89,11738.0,12
155,30000,30000,20.0,794.82,4,1.0,170000.0,Fully Paid,debt_consolidation,MO,30927.86,16712.0,12
156,5000,5000,11.02,163.75,6,2.0,65000.0,Fully Paid,debt_consolidation,AZ,5083.28,20739.0,3
157,18000,18000,8.19,565.64,7,1.0,88000.0,Fully Paid,debt_consolidation,MD,32.67,1865.0,6
158,10000,10000,16.4,353.55,5,1.0,82000.0,Fully Paid,debt_consolidation,WI,10015.31,28037.0,4
159,14000,14000,17.97,355.28,4,10.0,36000.0,Fully Paid,credit_card,CA,14023.48,2001.0,6
160,25000,25000,16.4,883.88,5,10.0,45000.0,Fully Paid,credit_card,CA,25079.72,6797.0,7
161,8000,8000,11.71,264.61,6,10.0,30000.0,Charged Off,debt_consolidation,TX,279.61,3772.0,4
162,5000,5000,13.9,170.65,5,1.0,52000.0,Charged Off,debt_consolidation,HI,170.65,2162.0,6
163,22000,22000,13.9,510.77,5,10.0,100000.0,Fully Paid,debt_consolidation,PA,22194.37,14035.0,6
164,13000,13000,15.57,313.18,5,2.0,120000.0,Fully Paid,major_purchase,WI,13134.94,34593.0,3
165,39075,39075,11.02,1279.64,6,1.0,1750000.0,Fully Paid,small_business,MI,39725.82,13251.0,4
166,2500,2500,7.56,77.84,7,10.0,41000.0,Fully Paid,debt_consolidation,OR,101.81,26059.0,2
167,16000,16000,10.33,342.56,6,1.0,162000.0,Fully Paid,home_improvement,CA,16015.43,1745.0,8
168,5000,5000,6.46,153.16,7,10.0,32000.0,Fully Paid,credit_card,NE,5036.54,10613.0,7
169,10000,10000,13.08,227.95,6,4.0,70000.0,Fully Paid,credit_card,NY,10079.93,9102.0,4
170,12000,12000,17.19,428.97,5,6.0,61500.0,Fully Paid,credit_card,NY,22.43,1515.0,10
171,14500,14500,13.9,494.88,5,10.0,61000.0,Fully Paid,debt_consolidation,NJ,14639.97,1689.0,5
172,7000,7000,7.56,217.94,7,9.0,147000.0,Fully Paid,debt_consolidation,HI,7004.78,3386.0,5
173,37625,37625,11.02,1232.16,6,10.0,144552.0,Fully Paid,credit_card,TX,37663.7,22380.0,10
174,15000,15000,15.57,361.36,5,10.0,145000.0,Fully Paid,debt_consolidation,NJ,15021.41,17043.0,3
175,20000,20000,20.0,529.88,4,5.0,90000.0,Charged Off,credit_card,TX,0.0,17787.0,9
176,9000,9000,7.56,280.21,7,8.0,83000.0,Fully Paid,debt_consolidation,NC,9032.13,64480.0,2
177,6500,6500,11.71,215.0,6,,36000.0,Charged Off,other,TX,0.0,1056.0,4
178,10000,10000,11.71,330.76,6,6.0,78500.0,Fully Paid,credit_card,MT,10010.93,1292.0,7
179,25000,25000,28.8,1044.93,4,9.0,108000.0,Fully Paid,debt_consolidation,MD,26091.1,20138.0,6
180,19200,19200,16.4,471.0,5,1.0,92000.0,Charged Off,debt_consolidation,CA,0.0,73.0,2
181,26450,26450,15.57,637.19,5,10.0,58780.0,Fully Paid,debt_consolidation,MD,26593.63,33749.0,7
182,7200,7200,7.02,222.39,7,9.0,144000.0,Fully Paid,other,CA,7219.66,25924.0,7
183,7700,7700,6.46,235.86,7,7.0,90000.0,Fully Paid,debt_consolidation,TX,7738.69,44092.0,2
184,28000,28000,22.5,781.32,4,9.0,102000.0,Fully Paid,debt_consolidation,WV,28092.75,6331.0,3
185,2000,2000,22.5,76.9,4,,18000.0,Charged Off,debt_consolidation,CA,76.9,1458.0,4
186,5000,5000,13.08,168.67,6,,50000.0,Fully Paid,debt_consolidation,OH,5076.12,1634.0,5
187,2200,2200,10.33,71.33,6,1.0,40800.0,Fully Paid,other,CA,2228.18,3003.0,1
188,3000,3000,15.57,104.84,5,10.0,55000.0,Fully Paid,credit_card,CA,32.76,5602.0,3
189,24000,24000,6.46,735.14,7,5.0,101000.0,Fully Paid,credit_card,FL,24030.53,2067.0,2
190,10000,10000,28.8,417.97,4,,61000.0,Fully Paid,debt_consolidation,CA,10381.44,3384.0,6
191,13600,13600,17.97,345.13,4,,42000.0,Charged Off,home_improvement,AZ,0.0,15496.0,5
192,4000,4000,15.57,139.79,5,,57612.0,Fully Paid,home_improvement,GA,4009.46,4790.0,7
193,15000,15000,10.33,486.34,6,3.0,70000.0,Fully Paid,debt_consolidation,TX,485.77,2167.0,3
194,15000,15000,20.0,397.41,4,2.0,83000.0,Fully Paid,debt_consolidation,CA,15332.51,34900.0,4
195,12000,12000,13.9,278.6,5,2.0,233452.0,Charged Off,debt_consolidation,MO,278.6,3227.0,9
196,35000,35000,17.97,1264.81,4,1.0,78500.0,Fully Paid,debt_consolidation,AR,35092.6,24373.0,10
197,28000,28000,22.5,781.32,4,3.0,150000.0,Fully Paid,major_purchase,OH,28525.0,35957.0,3
198,6000,6000,22.5,230.7,4,2.0,180000.0,Fully Paid,debt_consolidation,CA,6167.64,54120.0,6
199,10000,10000,12.4,334.06,6,1.0,30000.0,Charged Off,small_business,ME,334.06,34004.0,3
200,24000,24000,20.0,891.93,4,7.0,72000.0,Fully Paid,debt_consolidation,MO,24700.38,11435.0,5
201,5000,5000,7.56,155.67,7,6.0,70000.0,Charged Off,debt_consolidation,MO,5029.4,14194.0,4
202,1000,1000,12.4,33.41,6,,48600.0,Fully Paid,debt_consolidation,NY,1003.79,3008.0,9
203,20000,20000,20.0,529.88,4,10.0,98000.0,Charged Off,debt_consolidation,NY,0.0,389.0,3
204,2200,2200,20.0,81.76,4,1.0,45000.0,Charged Off,debt_consolidation,UT,81.76,18172.0,2
205,10000,10000,14.74,236.54,5,1.0,30000.0,Charged Off,credit_card,CA,236.54,1439.0,5
206,6025,6025,13.08,203.24,6,10.0,56000.0,Fully Paid,other,MA,6036.6,1521.0,1
207,14000,14000,13.9,477.81,5,9.0,82000.0,Fully Paid,debt_consolidation,MA,14075.68,3479.0,7
208,12000,12000,17.97,304.53,4,4.0,80000.0,Fully Paid,home_improvement,TX,12185.63,8198.0,2
209,7200,7200,20.0,267.58,4,2.0,50000.0,Charged Off,debt_consolidation,OH,0.0,14023.0,4
210,25000,25000,13.9,580.42,5,,64800.0,Charged Off,home_improvement,PA,580.42,3045.0,0
211,10000,10000,11.02,327.49,6,10.0,29286.0,Fully Paid,debt_consolidation,VA,10016.07,8333.0,7
212,21375,21375,16.4,755.71,5,10.0,160000.0,Charged Off,home_improvement,FL,755.71,3116.0,3
213,35000,35000,17.97,888.2,4,10.0,103000.0,Fully Paid,debt_consolidation,TX,35092.6,10933.0,6
214,6600,6600,13.9,225.26,5,2.0,50000.0,Charged Off,other,OH,225.26,13767.0,8
215,10000,10000,20.0,371.64,4,10.0,71000.0,Charged Off,home_improvement,LA,371.64,26515.0,5
216,14400,14400,22.5,401.82,4,3.0,91920.0,Fully Paid,car,IN,14456.7,4272.0,5
217,20000,20000,11.02,435.05,6,6.0,39900.0,Charged Off,home_improvement,FL,435.05,5839.0,6
218,8000,8000,6.46,245.05,7,4.0,75000.0,Fully Paid,credit_card,CA,8028.71,6803.0,3
219,20000,20000,10.33,648.45,6,10.0,120000.0,Fully Paid,small_business,MD,20143.47,15014.0,2
220,20000,20000,11.71,661.52,6,1.0,425000.0,Charged Off,debt_consolidation,SC,661.52,24860.0,6
221,10000,10000,15.57,240.91,5,10.0,125008.0,Fully Paid,debt_consolidation,TX,10142.58,5567.0,7
222,27875,27875,17.19,996.46,5,4.0,133000.0,Fully Paid,debt_consolidation,CT,28391.54,14829.0,14
223,36000,36000,16.4,1272.78,5,5.0,129000.0,Charged Off,major_purchase,CA,1272.78,2330.0,3
224,2525,2525,17.19,90.27,5,1.0,24000.0,Fully Paid,debt_consolidation,OH,2509.76,2372.0,7
225,1000,1000,14.74,34.54,5,,15000.0,Charged Off,other,CT,34.54,1623.0,1
226,3500,3500,16.4,123.75,5,10.0,51000.0,Charged Off,debt_consolidation,WA,123.75,5260.0,2
227,4800,4800,17.97,173.46,4,2.0,71450.0,Charged Off,other,KS,0.0,27779.0,4
228,20000,20000,13.9,682.59,5,1.0,60000.0,Fully Paid,debt_consolidation,AR,20299.6,12691.0,8
229,32000,32000,17.19,798.56,5,1.0,30000.0,Fully Paid,debt_consolidation,NC,32158.23,40203.0,4
230,30000,30000,10.33,642.3,6,7.0,38997.0,Fully Paid,debt_consolidation,NC,30343.23,19.0,1
231,5000,5000,20.0,185.82,4,10.0,62000.0,Charged Off,credit_card,CA,0.0,16812.0,3
232,1000,1000,8.81,31.72,7,5.0,100000.0,Fully Paid,medical,FL,1002.69,4697.0,1
233,4800,4800,8.81,152.22,7,8.0,25000.0,Fully Paid,credit_card,NY,4736.54,7065.0,1
234,18000,18000,16.4,441.56,5,,67152.0,Charged Off,debt_consolidation,VA,0.0,3288.0,1
235,32000,32000,15.57,770.89,5,10.0,275000.0,Charged Off,debt_consolidation,NY,0.0,5245.0,6
236,7000,7000,12.4,233.84,6,,37600.0,Charged Off,debt_consolidation,MA,467.68,1045.0,3
237,15000,15000,20.0,557.46,4,2.0,48000.0,Fully Paid,debt_consolidation,CA,14899.09,1934.0,6
238,2400,2400,8.81,76.11,7,10.0,62000.0,Fully Paid,other,KS,2422.66,4244.0,9
239,17000,17000,8.81,539.1,7,5.0,360000.0,Fully Paid,debt_consolidation,WA,16731.22,19833.0,5
240,25000,25000,17.19,623.88,5,1.0,65000.0,Fully Paid,debt_consolidation,IN,25310.38,3072.0,6
241,20000,20000,20.0,529.88,4,10.0,40000.0,Fully Paid,debt_consolidation,LA,20200.0,2331.0,8
242,14525,14525,15.57,349.91,5,2.0,39000.0,Fully Paid,debt_consolidation,MA,14594.1,22017.0,2
243,8000,8000,13.08,269.86,6,3.0,75000.0,Fully Paid,house,MI,8014.97,11838.0,7
244,3000,3000,7.56,93.41,7,4.0,48000.0,Fully Paid,other,TX,3005.04,22972.0,1
245,20000,20000,16.4,490.63,5,4.0,80000.0,Fully Paid,debt_consolidation,NJ,20381.48,9557.0,11
246,16800,16800,12.4,377.12,6,10.0,55000.0,Fully Paid,home_improvement,TX,17076.5,11290.0,6
247,10000,10000,20.0,264.94,4,5.0,47000.0,Fully Paid,debt_consolidation,FL,10072.2,3142.0,4
248,11000,11000,6.46,336.94,7,10.0,100000.0,Fully Paid,debt_consolidation,MO,11103.47,57205.0,3
249,1750,1750,8.81,55.5,7,1.0,48000.0,Fully Paid,other,SD,11.13,21743.0,1
250,3025,3025,14.74,104.48,5,5.0,50000.0,Charged Off,credit_card,GA,104.48,752.0,2
251,14000,14000,8.81,443.96,7,1.0,155000.0,Fully Paid,credit_card,CA,14129.85,2977.0,7
252,30000,30000,11.02,982.45,6,1.0,60000.0,Fully Paid,other,FL,30122.29,3490.0,1
253,8000,8000,14.74,276.31,5,5.0,20000.0,Fully Paid,debt_consolidation,FL,48.04,3131.0,6
